match_date,match_week,match_location,result,gf,ga,opp,xG,xGA,poss%,attendance,captain,ref_name
2023-08-12,1,Home,W,2,1,Nottingham Forest,0.80000000000000004,1.2,78,59984,Martin Ødegaard,Michael Oliver,
2023-08-21,2,Away,W,1,0,Crystal Palace,2,1,53,24189,Martin Ødegaard,David Coote,
2023-08-26,3,Home,D,2,2,Fulham,3.2000000000000002,0.59999999999999998,71,59961,Martin Ødegaard,Paul Tierney,
2023-09-03,4,Home,W,3,1,Manchester United,2.2999999999999998,0.90000000000000002,55,60192,Martin Ødegaard,Anthony Taylor,
2023-09-17,5,Away,W,1,0,Everton,1,0.29999999999999999,74,39217,Martin Ødegaard,Simon Hooper,
2023-09-24,6,Home,D,2,2,Tottenham,1.8,1.3999999999999999,47,60156,Martin Ødegaard,Robert Jones,
2023-09-30,7,Away,W,4,0,Bournemouth,3.3999999999999999,0.59999999999999998,57,11193,Martin Ødegaard,Michael Salisbury,
2023-10-08,8,Home,W,1,0,Manchester City,0.40000000000000002,0.5,49,60233,Martin Ødegaard,Michael Oliver,
2023-10-21,9,Away,D,2,2,Chelsea,1,1.3,56,39723,Martin Ødegaard,Chris Kavanagh,
2023-10-28,10,Home,W,5,0,Sheffield United,2.7999999999999998,0,67,60153,Bukayo Saka,Tim Robinson,
2023-11-04,11,Away,L,0,1,Newcastle United,0.59999999999999998,1,58,52194,Jorginho,Stuart Attwell,
2023-11-11,12,Home,W,3,1,Burnley,1.8,0.29999999999999999,63,60232,Jorginho,Michael Oliver,
2023-11-25,13,Away,W,1,0,Brentford,1.6000000000000001,1.1000000000000001,63,17201,Martin Ødegaard,Tim Robinson,
2023-12-02,14,Home,W,2,1,Wolves,2.7999999999999998,0.69999999999999996,57,60262,Martin Ødegaard,Peter Bankes,
2023-12-05,15,Away,W,4,3,Luton Town,2.2000000000000002,0.5,66,11031,Martin Ødegaard,Samuel Barrott,
2023-12-09,16,Away,L,0,1,Aston Villa,1.3999999999999999,0.59999999999999998,61,42000,Martin Ødegaard,Jarred Gillett,
2023-12-17,17,Home,W,2,0,Brighton,2.2999999999999998,0.69999999999999996,49,60257,Martin Ødegaard,Tim Robinson,
2023-12-23,18,Away,D,1,1,Liverpool,0.69999999999999996,1,48,57548,Martin Ødegaard,Chris Kavanagh,
2023-12-28,19,Home,L,0,2,West Ham United,2.7000000000000002,1.3999999999999999,73,60261,Martin Ødegaard,Michael Oliver,
2023-12-31,20,Away,L,1,2,Fulham,1.6000000000000001,1.2,60,24444,Martin Ødegaard,Joshua Smith,
2024-01-20,21,Home,W,5,0,Crystal Palace,3.2999999999999998,0.29999999999999999,60,60284,Martin Ødegaard,Paul Tierney,
2024-01-30,22,Away,W,2,1,Nottingham Forest,1.2,0.5,73,29387,Martin Ødegaard,Simon Hooper,
2024-02-04,23,Home,W,3,1,Liverpool,3.5,0.40000000000000002,43,60374,Martin Ødegaard,Anthony Taylor,
2024-02-11,24,Away,W,6,0,West Ham United,3.6000000000000001,0.20000000000000001,70,62475,Martin Ødegaard,Craig Pawson,
2024-02-17,25,Away,W,5,0,Burnley,2.2999999999999998,0.29999999999999999,64,21311,Martin Ødegaard,Jarred Gillett,
2024-02-24,26,Home,W,4,1,Newcastle United,2.7999999999999998,0.20000000000000001,55,60298,Martin Ødegaard,Paul Tierney,
2024-03-04,27,Away,W,6,0,Sheffield United,2.2999999999999998,0.20000000000000001,80,29157,Martin Ødegaard,Samuel Barrott,
2024-03-09,28,Home,W,2,1,Brentford,1.3,1,71,60331,Martin Ødegaard,Robert Jones,
2024-03-31,30,Away,D,0,0,Manchester City,0.69999999999999996,1,28,52178,Martin Ødegaard,Anthony Taylor,
2024-04-03,31,Home,W,2,0,Luton Town,0.69999999999999996,0.29999999999999999,58,60262,Martin Ødegaard,Craig Pawson,
2024-04-06,32,Away,W,3,0,Brighton,3.3999999999999999,0.5,46,31677,Martin Ødegaard,John Brooks,
2024-04-14,33,Home,L,0,2,Aston Villa,1.6000000000000001,0.90000000000000002,52,60350,Martin Ødegaard,David Coote,
2024-04-20,34,Away,W,2,0,Wolves,1.2,0.20000000000000001,54,31621,Martin Ødegaard,Paul Tierney,
2024-04-23,29,Home,W,5,0,Chelsea,3.2999999999999998,1.6000000000000001,45,60238,Martin Ødegaard,Simon Hooper,
2024-04-28,35,Away,W,3,2,Tottenham,1,2.2999999999999998,38,61554,Martin Ødegaard,Michael Oliver,
2024-05-04,36,Home,W,3,0,Bournemouth,3.2999999999999998,0.5,55,60348,Martin Ødegaard,David Coote,
2024-05-12,37,Away,W,1,0,Manchester United,1.5,0.5,46,73600,Martin Ødegaard,Paul Tierney,
2024-05-19,38,Home,W,2,1,Everton,2.8999999999999999,0.59999999999999998,68,60312,Martin Ødegaard,Michael Oliver,
